id;safra_abertura;cidade;estado;idade;sexo;limite_total;limite_disp;data;valor;grupo_estabelecimento;cidade_estabelecimento;pais_estabelecimento
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5605;2019-12-04;31;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5343;2019-11-09;150,01;FARMACIAS;SANTOS;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;2829;2019-05-06;50;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;2547;2019-06-01;54,4;M.O.T.O.;OSASCO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;2515;2019-06-01;32,79;M.O.T.O.;OSASCO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;2636;2020-05-05;44,9;ARTIGOS ELETRO;OSASCO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5471;2019-11-24;45,9;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;2789;2020-03-21;5;M.O.T.O.;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5943;2020-01-06;10;ARTIGOS ELETRO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5451;2019-12-24;50;ARTIGOS ELETRO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5431;2019-12-24;20;ARTIGOS ELETRO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;1706;2020-04-04;360,45;M.O.T.O.;LNKD.IN/BILL;IE
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;2879;2019-05-03;1.784,13;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;6326;2020-02-07;10;ARTIGOS ELETRO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;3177;2019-06-26;19,99;VAREJO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;2117;2020-04-01;26;SERVI‚O;CURITIBA;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4277;2019-08-20;80,9;VAREJO;CAMPO LIMPO P;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;3763;2019-07-19;15,76;M.O.T.O.;OSASCO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5753;2019-04-13;87,5;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4923;2019-10-24;45,9;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;3717;2019-07-24;45,9;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;2602;2019-05-24;45,9;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4467;2019-09-29;19,99;M.O.T.O.;OSASCO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4105;2019-08-31;30,3;LOJA DE DEPART;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4930;2019-10-12;199,96;VESTUARIO;JUNDIAI;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5344;2019-12-30;86,85;VAREJO;VARZEA PAULIS;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5851;2020-02-22;5;M.O.T.O.;Eden Prarie;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5849;2020-02-23;2;M.O.T.O.;Eden Prarie;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5547;2019-12-20;83,27;ARTIGOS ELETRO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;2770;2020-04-20;40;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;2188;2020-03-25;3;M.O.T.O.;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4283;2019-08-08;8,91;VAREJO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4278;2019-08-08;5,37;VAREJO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4181;2019-08-24;78,99;ARTIGOS ELETRO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5189;2020-03-13;5,68;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4593;2019-09-19;18,9;ARTIGOS ELETRO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5764;2020-03-01;11,95;ARTIGOS ELETRO;CURITIBA;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5501;2019-12-24;45,9;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;6226;2020-02-11;50;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5881;2020-02-20;87,5;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;3372;2019-06-14;151,2;SERVI‚O;GUARULHOS;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4288;2019-04-25;19,12;VAREJO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;6056;2020-02-18;50;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5968;2020-02-18;87,5;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5203;2020-01-13;100;SERVI‚O;CAMPO LIMPO P;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5856;2020-02-22;25;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;2804;2019-05-13;25;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5274;2020-03-07;25;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5162;2019-10-10;150,65;M.O.T.O.;OSASCO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5130;2019-10-10;32,37;M.O.T.O.;OSASCO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;2505;2019-06-03;9,81;VAREJO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;2680;2020-05-03;19,99;ARTIGOS ELETRO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4547;2019-09-24;45,9;SERVI‚O;SAO PAULO;BR
